,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,Type
0,SPY230616P00150000,150.0,USD,1.53,-0.04000008,-2.5477757,10.0,1999.0,1.28,1.47,REGULAR,1686873600,1643650803,0.48608912353515604,False,P
1,SPY230616P00160000,160.0,USD,1.7000000000000002,0.0,0.0,1.0,719.0,1.52,1.72,REGULAR,1686873600,1642788739,0.471929108886718,False,P
2,SPY230616P00170000,170.0,USD,2.65,0.0,0.0,12.0,31.0,1.78,1.99,REGULAR,1686873600,1643044556,0.458013232421875,False,P
3,SPY230616P00180000,180.0,USD,2.68,0.0,0.0,2.0,62.0,2.08,2.29,REGULAR,1686873600,1643380595,0.444768735961914,False,P
4,SPY230616P00190000,190.0,USD,2.51,0.0,0.0,1.0,20.0,2.4,2.62,REGULAR,1686873600,1641588144,0.43201251586914,False,P
5,SPY230616P00200000,200.0,USD,3.25,0.0,0.0,3.0,527.0,2.76,2.99,REGULAR,1686873600,1643299241,0.41992767578125,False,P
6,SPY230616P00210000,210.0,USD,3.18,0.0,0.0,9.0,17.0,3.15,3.39,REGULAR,1686873600,1642702245,0.408025939331054,False,P
7,SPY230616P00215000,215.0,USD,4.25,0.0,0.0,1.0,5.0,3.37,3.6,REGULAR,1686873600,1643137302,0.40210558837890603,False,P
8,SPY230616P00220000,220.0,USD,4.26,0.0,0.0,2.0,1299.0,3.6,3.84,REGULAR,1686873600,1643388627,0.396795582885742,False,P
9,SPY230616P00225000,225.0,USD,5.24,0.0,0.0,1.0,1430.0,3.84,4.08,REGULAR,1686873600,1643131983,0.391241439208984,False,P
10,SPY230616P00230000,230.0,USD,4.57,0.0,0.0,1.0,14.0,4.1,4.34,REGULAR,1686873600,1642787238,0.385992468261718,False,P
11,SPY230616P00235000,235.0,USD,4.77,0.0,0.0,1.0,4.0,4.36,4.6,REGULAR,1686873600,1642790736,0.38056039367675704,False,P
12,SPY230616P00240000,240.0,USD,4.31,0.0,0.0,1.0,24.0,4.64,4.88,REGULAR,1686873600,1642106489,0.37534194000244103,False,P
13,SPY230616P00245000,245.0,USD,4.76,0.0,0.0,17.0,24.0,5.52,5.82,REGULAR,1686873600,1640982091,0.381262290954589,False,P
14,SPY230616P00250000,250.0,USD,6.26,-0.33999968,-5.1515102,22.0,250.0,5.25,5.49,REGULAR,1686873600,1643656548,0.365271239929199,False,P
15,SPY230616P00255000,255.0,USD,6.34,0.0,0.0,3.0,10.0,3.77,7.57,REGULAR,1686873600,1643220105,0.38669436553955006,False,P
16,SPY230616P00260000,260.0,USD,8.84,0.0,0.0,2.0,26.0,4.12,7.91,REGULAR,1686873600,1643043238,0.38065194549560505,False,P
17,SPY230616P00265000,265.0,USD,6.47,0.0,0.0,7.0,50.0,4.48,8.28,REGULAR,1686873600,1643295310,0.37491469818115203,False,P
18,SPY230616P00270000,270.0,USD,9.13,0.0,0.0,1.0,2.0,4.88,8.67,REGULAR,1686873600,1643121085,0.36934529586791903,False,P
19,SPY230616P00275000,275.0,USD,6.62,0.0,0.0,220.0,236.0,5.29,9.09,REGULAR,1686873600,1641921063,0.364004773101806,False,P
20,SPY230616P00280000,280.0,USD,10.26,0.0,0.0,2.0,33.0,5.72,9.52,REGULAR,1686873600,1643131129,0.35864899169921804,False,P
21,SPY230616P00285000,285.0,USD,9.41,0.0,0.0,3.0,5.0,6.18,9.97,REGULAR,1686873600,1642790742,0.35338476211547803,False,P
22,SPY230616P00290000,290.0,USD,9.01,-1.5199995,-14.434944,3.0,21.0,6.66,10.46,REGULAR,1686873600,1643649456,0.34842570526123,False,P
23,SPY230616P00295000,295.0,USD,11.9,0.0,0.0,1.0,10.0,7.17,10.96,REGULAR,1686873600,1643041295,0.34339035522460903,False,P
24,SPY230616P00300000,300.0,USD,9.45,-1.3500003999999999,-12.500003,5.0,337.0,7.71,11.5,REGULAR,1686873600,1643661963,0.33862966064453104,False,P
25,SPY230616P00305000,305.0,USD,11.4,0.0,0.0,2.0,4.0,8.28,12.07,REGULAR,1686873600,1643223219,0.333975776519775,False,P
26,SPY230616P00310000,310.0,USD,11.5,-1.3100004,-10.226388,2.0,174.0,8.87,12.66,REGULAR,1686873600,1643644610,0.329321892395019,False,P
27,SPY230616P00315000,315.0,USD,12.92,0.0,0.0,384.0,232.0,9.57,13.28,REGULAR,1686873600,1642794627,0.324774818725585,False,P
28,SPY230616P00320000,320.0,USD,13.94,0.0,0.0,6.0,266.0,12.0,13.93,REGULAR,1686873600,1643209135,0.32030403823852505,False,P
29,SPY230616P00325000,325.0,USD,15.3,0.0,0.0,181.0,150.0,10.91,14.64,REGULAR,1686873600,1642795692,0.316138430480957,False,P
30,SPY230616P00330000,330.0,USD,17.5,0.0,0.0,2.0,791.0,11.63,15.37,REGULAR,1686873600,1643039045,0.31192704681396405,False,P
31,SPY230616P00335000,335.0,USD,16.44,0.0,0.0,1.0,498.0,12.42,16.2,REGULAR,1686873600,1643403620,0.30828023269653304,False,P
32,SPY230616P00340000,340.0,USD,20.25,0.0,0.0,7.0,320.0,13.23,17.01,REGULAR,1686873600,1643128671,0.30425195266723604,False,P
33,SPY230616P00345000,345.0,USD,19.03,0.0,0.0,2.0,470.0,14.07,17.85,REGULAR,1686873600,1643212079,0.30020841400146403,False,P
34,SPY230616P00350000,350.0,USD,17.11,-2.3099995,-11.894951,40.0,1814.0,14.95,18.73,REGULAR,1686873600,1643656548,0.29624116851806603,False,P
35,SPY230616P00355000,355.0,USD,24.0,0.0,0.0,2.0,282.0,15.88,19.65,REGULAR,1686873600,1643042166,0.29231969894409104,False,P
36,SPY230616P00360000,360.0,USD,22.55,0.0,0.0,1.0,849.0,17.5,20.62,REGULAR,1686873600,1643136505,0.288489781188964,False,P
37,SPY230616P00365000,365.0,USD,20.54,-4.16,-16.842104,4.0,347.0,17.85,21.62,REGULAR,1686873600,1643647966,0.28462934616088803,False,P
38,SPY230616P00370000,370.0,USD,23.63,0.0,0.0,1.0,391.0,18.9,22.68,REGULAR,1686873600,1643402374,0.280890980224609,False,P
39,SPY230616P00375000,375.0,USD,25.01,0.0,0.0,10.0,453.0,20.0,23.77,REGULAR,1686873600,1643401454,0.27710683837890604,False,P
40,SPY230616P00380000,380.0,USD,23.21,-2.2300014,-8.765729,2.0,708.0,21.14,24.9,REGULAR,1686873600,1643658967,0.273299808578491,False,P
41,SPY230616P00385000,385.0,USD,29.0,0.0,0.0,2.0,1272.0,22.38,26.14,REGULAR,1686873600,1643382179,0.26988950332641604,False,P
42,SPY230616P00390000,390.0,USD,27.46,-0.7400017,-2.6241195,5.0,419.0,23.62,27.37,REGULAR,1686873600,1643658210,0.266151137390136,False,P
43,SPY230616P00395000,395.0,USD,27.3,-7.0200005,-20.454546,1.0,136.0,24.9,28.65,REGULAR,1686873600,1643657855,0.262420400772094,False,P
44,SPY230616P00400000,400.0,USD,27.94,-6.0599995,-17.823528,28.0,1525.0,26.24,30.0,REGULAR,1686873600,1643662580,0.258811733245849,False,P
45,SPY230616P00405000,405.0,USD,29.78,-9.219999,-23.641024,2.0,564.0,27.63,31.39,REGULAR,1686873600,1643658831,0.25513440185546804,False,P
46,SPY230616P00410000,410.0,USD,31.51,-5.629999,-15.158855,1.0,123.0,29.09,32.84,REGULAR,1686873600,1643642746,0.25149521705627403,False,P
47,SPY230616P00415000,415.0,USD,37.72,0.0,0.0,3.0,671.0,30.59,34.36,REGULAR,1686873600,1643401454,0.247924696121215,False,P
48,SPY230616P00420000,420.0,USD,34.48,-3.0200005,-8.053335,2.0,10135.0,32.23,35.98,REGULAR,1686873600,1643656594,0.24457542541503902,False,P
49,SPY230616P00425000,425.0,USD,36.04,-2.8600006000000002,-7.3521867,1.0,386.0,33.86,37.6,REGULAR,1686873600,1643658479,0.240905723342895,False,P
50,SPY230616P00430000,430.0,USD,39.24,-5.449997,-12.195115,2.0,232.0,35.55,39.3,REGULAR,1686873600,1643646764,0.237327573089599,False,P
51,SPY230616P00435000,435.0,USD,39.49,-4.5099983,-10.249996,1.0,646.0,37.32,41.06,REGULAR,1686873600,1643658479,0.233718905563354,False,P
52,SPY230616P00440000,440.0,USD,44.65,-2.3499985,-4.9999967,2.0,301.0,39.17,42.93,REGULAR,1686873600,1643639700,0.230323858947753,False,P
53,SPY230616P00445000,445.0,USD,44.31,-3.1899986,-6.7157865,101.0,366.0,41.06,44.82,REGULAR,1686873600,1643648860,0.22667704483032203,False,P
