,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,Type
0,SPY220617P00100000,100.0,USD,0.05,-0.02,-28.571426,835.0,21447.0,0.05,0.07,REGULAR,1655424000,1643835086,0.8632826171875,False,P
1,SPY220617P00105000,105.0,USD,0.08,0.0,0.0,398.0,11574.0,0.06,0.07,REGULAR,1655424000,1643746669,0.84179845703125,False,P
2,SPY220617P00110000,110.0,USD,0.08,-0.020000003000000002,-20.000004,397.0,9298.0,0.07,0.08,REGULAR,1655424000,1643826058,0.8281267187499991,False,P
3,SPY220617P00115000,115.0,USD,0.1,0.0,0.0,386.0,6042.0,0.08,0.09,REGULAR,1655424000,1643819152,0.812501874999999,False,P
4,SPY220617P00120000,120.0,USD,0.09,-0.019999996000000003,-18.181814,960.0,5143.0,0.09,0.1,REGULAR,1655424000,1643831876,0.7959004785156251,False,P
5,SPY220617P00125000,125.0,USD,0.11,-0.049999997000000004,-31.25,373.0,5404.0,0.1,0.12,REGULAR,1655424000,1643836265,0.7832052929687501,False,P
6,SPY220617P00130000,130.0,USD,0.12,-0.04,-25.0,512.0,3285.0,0.12,0.13,REGULAR,1655424000,1643814004,0.77148666015625,False,P
7,SPY220617P00135000,135.0,USD,0.13,-0.040000007000000004,-23.529415,297.0,3723.0,0.13,0.14,REGULAR,1655424000,1643833137,0.754885263671875,False,P
8,SPY220617P00140000,140.0,USD,0.15,-0.049999997000000004,-24.999998,336.0,2789.0,0.15,0.16,REGULAR,1655424000,1643836265,0.74414318359375,False,P
9,SPY220617P00145000,145.0,USD,0.16,-0.040000007000000004,-20.000004,1506.0,2721.0,0.16,0.17,REGULAR,1655424000,1643829159,0.727541787109375,False,P
10,SPY220617P00150000,150.0,USD,0.17,-0.019999996000000003,-10.526314,985.0,51108.0,0.18,0.19,REGULAR,1655424000,1643835455,0.715823154296874,False,P
11,SPY220617P00155000,155.0,USD,0.2,-0.019999996000000003,-9.090907,435.0,2990.0,0.2,0.21,REGULAR,1655424000,1643813320,0.703616245117187,False,P
12,SPY220617P00160000,160.0,USD,0.2,-0.11999999,-37.499996,25.0,8631.0,0.22,0.24,REGULAR,1655424000,1643833788,0.69336244140625,False,P
13,SPY220617P00165000,165.0,USD,0.25,0.0,0.0,225.0,3018.0,0.25,0.26,REGULAR,1655424000,1643748453,0.6816438085937501,False,P
14,SPY220617P00170000,170.0,USD,0.27,-0.00999999,-3.571425,457.0,2307.0,0.27,0.28,REGULAR,1655424000,1643836262,0.6689486230468751,False,P
15,SPY220617P00175000,175.0,USD,0.29,-0.030000001000000002,-9.375001,111.0,1878.0,0.30000000000000004,0.31,REGULAR,1655424000,1643836179,0.6586948193359371,False,P
16,SPY220617P00180000,180.0,USD,0.31,-0.07999998,-20.512815,18.0,1979.0,0.33,0.34,REGULAR,1655424000,1643835951,0.647952739257812,False,P
17,SPY220617P00185000,185.0,USD,0.35000000000000003,-0.050000012,-12.500003,21.0,2097.0,0.36,0.37,REGULAR,1655424000,1643836221,0.637210659179687,False,P
18,SPY220617P00190000,190.0,USD,0.38,-0.060000002000000004,-13.636364,185.0,17509.0,0.39,0.4,REGULAR,1655424000,1643836219,0.6257361645507811,False,P
19,SPY220617P00195000,195.0,USD,0.41000000000000003,-0.13000003000000002,-24.074078,2.0,1554.0,0.42,0.44,REGULAR,1655424000,1643825478,0.6152382226562501,False,P
20,SPY220617P00200000,200.0,USD,0.43,-0.060000002000000004,-12.244898,12.0,3524.0,0.46,0.47000000000000003,REGULAR,1655424000,1643835556,0.604496142578125,False,P
21,SPY220617P00205000,205.0,USD,1.0,0.0,0.0,8.0,1356.0,0.5,0.51,REGULAR,1655424000,1643309817,0.5944864770507811,False,P
22,SPY220617P00210000,210.0,USD,0.52,0.0,0.0,21.0,13521.0,0.54,0.55,REGULAR,1655424000,1643749470,0.5842326733398431,False,P
23,SPY220617P00215000,215.0,USD,0.59,-0.01000005,-1.6666750000000001,309.0,1191.0,0.58,0.6000000000000001,REGULAR,1655424000,1643836432,0.5742230078125,False,P
24,SPY220617P00220000,220.0,USD,0.59,-0.030000031000000003,-4.8387146,803.0,13632.0,0.63,0.65,REGULAR,1655424000,1643835791,0.5649457568359371,False,P
25,SPY220617P00225000,225.0,USD,0.66,-0.06999999,-9.58904,1141.0,1472.0,0.68,0.7000000000000001,REGULAR,1655424000,1643829308,0.555180229492187,False,P
26,SPY220617P00230000,230.0,USD,0.74,0.00999999,1.3698617,564.0,1503.0,0.73,0.75,REGULAR,1655424000,1643836432,0.5451705639648431,False,P
27,SPY220617P00235000,235.0,USD,0.73,-0.06999999,-8.749999,12.0,5414.0,0.79,0.81,REGULAR,1655424000,1643825435,0.536015382080078,False,P
28,SPY220617P00240000,240.0,USD,0.8300000000000001,-0.11000001400000001,-11.702129,2.0,1525.0,0.85,0.87,REGULAR,1655424000,1643836199,0.5266160620117181,False,P
29,SPY220617P00245000,245.0,USD,0.89,-0.11000001400000001,-11.000002,21.0,1633.0,0.91,0.93,REGULAR,1655424000,1643836138,0.5169726037597651,False,P
30,SPY220617P00250000,250.0,USD,0.91,-0.029999971,-3.1914864,453.0,28997.0,0.98,1.0,REGULAR,1655424000,1643835558,0.507939490966796,False,P
31,SPY220617P00255000,255.0,USD,1.01,-0.01999998,-1.9417458,26.0,1366.0,1.05,1.07,REGULAR,1655424000,1643835957,0.499516723632812,False,P
32,SPY220617P00260000,260.0,USD,1.11,-0.01999998,-1.7699099,10.0,3970.0,1.12,1.1400000000000001,REGULAR,1655424000,1643836220,0.48999533447265603,False,P
33,SPY220617P00265000,265.0,USD,1.17,0.0,0.0,106.0,3349.0,1.2,1.22,REGULAR,1655424000,1643749470,0.48096222167968705,False,P
34,SPY220617P00270000,270.0,USD,1.26,-0.20000005,-13.698633,18.0,3154.0,1.29,1.31,REGULAR,1655424000,1643821200,0.47241738525390603,False,P
35,SPY220617P00275000,275.0,USD,1.28,-0.19000006,-12.925174,276.0,1875.0,1.38,1.4,REGULAR,1655424000,1643827589,0.463506341552734,False,P
36,SPY220617P00280000,280.0,USD,1.44,-0.049999952,-3.3557017,1.0,4696.0,1.47,1.49,REGULAR,1655424000,1643817395,0.454412194213867,False,P
37,SPY220617P00285000,285.0,USD,2.68,0.0,0.0,67.0,2459.0,1.57,1.5899999999999999,REGULAR,1655424000,1643387106,0.445623219604492,False,P
38,SPY220617P00290000,290.0,USD,1.62,0.0,0.0,15.0,3886.0,1.6800000000000002,1.7000000000000002,REGULAR,1655424000,1643813229,0.437139417724609,False,P
39,SPY220617P00295000,295.0,USD,1.74,-0.03999996,-2.247189,1.0,2290.0,1.8,1.82,REGULAR,1655424000,1643813294,0.428777684936523,False,P
40,SPY220617P00300000,300.0,USD,1.94,0.05000007,2.6455066,599.0,9106.0,1.9300000000000002,1.9500000000000002,REGULAR,1655424000,1643836389,0.42059905578613205,False,P
41,SPY220617P00305000,305.0,USD,2.33,0.0,0.0,3.0,1986.0,2.06,2.09,REGULAR,1655424000,1643729315,0.41254249572753904,False,P
42,SPY220617P00310000,310.0,USD,2.0,-0.13000011,-6.1032915,45.0,6476.0,2.21,2.24,REGULAR,1655424000,1643833226,0.40454697021484304,False,P
43,SPY220617P00315000,315.0,USD,2.15,-0.2099998,-8.898297,6.0,3485.0,2.37,2.4,REGULAR,1655424000,1643833134,0.39661247924804605,False,P
44,SPY220617P00320000,320.0,USD,2.35,-0.12000012400000001,-4.8583045,349.0,7670.0,2.55,2.58,REGULAR,1655424000,1643835675,0.38898316101074204,False,P
45,SPY220617P00325000,325.0,USD,2.66,-0.32999992,-11.036786,73.0,6351.0,2.74,2.77,REGULAR,1655424000,1643816906,0.381292808227538,False,P
46,SPY220617P00330000,330.0,USD,2.68,-0.22000003,-7.586208,82.0,7148.0,2.95,2.98,REGULAR,1655424000,1643835020,0.37384659362792905,False,P
47,SPY220617P00335000,335.0,USD,3.01,-0.23000002,-7.098766,171.0,9102.0,3.18,3.21,REGULAR,1655424000,1643829646,0.36658348266601504,False,P
48,SPY220617P00340000,340.0,USD,3.23,-0.13999987,-4.154299,107.0,55906.0,3.43,3.46,REGULAR,1655424000,1643825659,0.35941192352294904,False,P
49,SPY220617P00345000,345.0,USD,3.39,-0.8799999,-20.608896,10.0,14236.0,3.7,3.74,REGULAR,1655424000,1643835280,0.35254553710937503,False,P
50,SPY220617P00350000,350.0,USD,3.62,-0.3000002,-7.6530657,438.0,12317.0,4.0,4.04,REGULAR,1655424000,1643835357,0.345648633422851,False,P
51,SPY220617P00355000,355.0,USD,3.92,-0.2999997,-7.1089983,16.0,22249.0,4.33,4.37,REGULAR,1655424000,1643833977,0.338904316101074,False,P
52,SPY220617P00360000,360.0,USD,4.26,-0.5399999600000001,-11.249999,53.0,14637.0,4.69,4.73,REGULAR,1655424000,1643834580,0.33225155059814404,False,P
53,SPY220617P00365000,365.0,USD,4.75,-0.23000002,-4.618474,77.0,8144.0,5.08,5.13,REGULAR,1655424000,1643830216,0.32584292327880804,False,P
54,SPY220617P00370000,370.0,USD,4.97,-0.69000006,-12.190814,75.0,15375.0,5.52,5.5600000000000005,REGULAR,1655424000,1643833063,0.31940377868652303,False,P
55,SPY220617P00375000,375.0,USD,5.43,-0.5500001999999999,-9.197328,62.0,14200.0,5.99,6.04,REGULAR,1655424000,1643835348,0.313208772277832,False,P
56,SPY220617P00376000,376.0,USD,5.8,-0.9299997999999999,-13.81872,4.0,5970.0,6.09,6.14,REGULAR,1655424000,1643823855,0.311957564086914,False,P
57,SPY220617P00377000,377.0,USD,5.68,-1.54,-21.32964,65.0,2436.0,6.19,6.24,REGULAR,1655424000,1643832172,0.31067583862304604,False,P
58,SPY220617P00378000,378.0,USD,6.16,-0.05000019,-0.80515605,11.0,3315.0,6.3,6.35,REGULAR,1655424000,1643817328,0.30954669952392505,False,P
59,SPY220617P00379000,379.0,USD,6.3,0.0,0.0,62.0,5378.0,6.4,6.45,REGULAR,1655424000,1643749031,0.30820393951416003,False,P
60,SPY220617P00380000,380.0,USD,5.92,-0.50999975,-7.931567,1199.0,27446.0,6.51,6.5600000000000005,REGULAR,1655424000,1643835444,0.30701376586914003,False,P
61,SPY220617P00381000,381.0,USD,6.67,0.0,0.0,3.0,1644.0,6.62,6.68,REGULAR,1655424000,1643642073,0.30594566131591705,False,P
62,SPY220617P00382000,382.0,USD,6.79,0.0,0.0,63.0,2540.0,6.73,6.79,REGULAR,1655424000,1643746736,0.304694453125,False,P
63,SPY220617P00383000,383.0,USD,6.43,-0.47000027,-6.811598,11.0,4607.0,6.85,6.9,REGULAR,1655424000,1643812909,0.30341272766113203,False,P
64,SPY220617P00384000,384.0,USD,7.04,0.0,0.0,1.0,7025.0,6.96,7.02,REGULAR,1655424000,1643748097,0.30228358856201104,False,P
