,contractSymbol,strike,currency,lastPrice,change,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,Type
0,SPY220406P00285000,285.0,USD,0.28,0.28,5.0,5,0.31,0.33,REGULAR,1649203200,1646333649,0.629398237304687,False,P
1,SPY220406P00295000,295.0,USD,0.34,0.34,4.0,0,0.37,0.4,REGULAR,1649203200,1646334135,0.599125102539062,False,P
2,SPY220406P00320000,320.0,USD,0.59,0.59,1.0,1,0.5700000000000001,0.61,REGULAR,1649203200,1646327273,0.521245021972656,False,P
3,SPY220406P00325000,325.0,USD,0.87,0.87,,10,0.63,0.67,REGULAR,1649203200,1646233800,0.5068408691406251,False,P
4,SPY220406P00330000,330.0,USD,0.85,0.85,,11,0.6900000000000001,0.73,REGULAR,1649203200,1646240706,0.493901545410156,False,P
5,SPY220406P00335000,335.0,USD,0.88,0.88,10.0,10,0.77,0.81,REGULAR,1649203200,1646324003,0.48010773803710904,False,P
6,SPY220406P00340000,340.0,USD,1.02,1.02,,1,0.86,0.9,REGULAR,1649203200,1646238537,0.466313930664062,False,P
7,SPY220406P00345000,345.0,USD,1.01,1.01,1.0,11,0.96,1.01,REGULAR,1649203200,1646340827,0.45337460693359305,False,P
8,SPY220406P00350000,350.0,USD,1.0,1.0,16.0,7,1.09,1.1400000000000001,REGULAR,1649203200,1646334720,0.440801490478515,False,P
9,SPY220406P00355000,355.0,USD,1.17,1.17,2.0,2,1.23,1.29,REGULAR,1649203200,1646336506,0.42847251220703103,False,P
10,SPY220406P00360000,360.0,USD,1.38,1.38,4.0,10,1.43,1.48,REGULAR,1649203200,1646336726,0.417242155761718,False,P
11,SPY220406P00365000,365.0,USD,1.48,1.48,14.0,12,1.6400000000000001,1.71,REGULAR,1649203200,1646336149,0.406744213867187,False,P
12,SPY220406P00370000,370.0,USD,1.9500000000000002,1.9500000000000002,3.0,10,1.9,1.98,REGULAR,1649203200,1646321676,0.39649041015625003,False,P
