,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,Type
0,SPY220916P00140000,140.0,USD,0.45,0.06999999,18.421051,3.0,2012,0.42,0.45,REGULAR,1663286400,1643909221,0.6408727319335931,False,P
1,SPY220916P00145000,145.0,USD,0.6900000000000001,0.0,0.0,111.0,340,0.46,0.49,REGULAR,1663286400,1643316105,0.6296423754882811,False,P
2,SPY220916P00150000,150.0,USD,0.71,0.0,0.0,2.0,825,0.5,0.54,REGULAR,1663286400,1643403216,0.61914443359375,False,P
3,SPY220916P00155000,155.0,USD,0.5,0.0,0.0,17.0,141,0.55,0.59,REGULAR,1663286400,1643824442,0.6091347680664061,False,P
4,SPY220916P00160000,160.0,USD,0.65,0.09999996400000001,18.18181,1.0,180,0.59,0.63,REGULAR,1663286400,1643911397,0.5976602734375001,False,P
5,SPY220916P00165000,165.0,USD,0.67,0.0,0.0,3.0,151,0.64,0.68,REGULAR,1663286400,1643639763,0.5874064697265621,False,P
6,SPY220916P00170000,170.0,USD,0.65,0.0,0.0,1.0,127,0.6900000000000001,0.74,REGULAR,1663286400,1643823022,0.577640942382812,False,P
7,SPY220916P00175000,175.0,USD,0.91,0.0,0.0,5.0,177,0.75,0.8,REGULAR,1663286400,1643649913,0.5681195532226561,False,P
8,SPY220916P00180000,180.0,USD,1.17,0.0,0.0,1.0,251,0.81,0.86,REGULAR,1663286400,1643386199,0.5585981640625001,False,P
9,SPY220916P00185000,185.0,USD,0.76,0.0,0.0,88.0,16346,0.88,0.92,REGULAR,1663286400,1643834971,0.549320913085937,False,P
10,SPY220916P00190000,190.0,USD,0.99,0.11000001400000001,12.500002,2.0,10595,0.9500000000000001,0.99,REGULAR,1663286400,1643915871,0.5402878002929691,False,P
11,SPY220916P00195000,195.0,USD,1.06,0.00999999,0.95238006,20.0,303,1.03,1.07,REGULAR,1663286400,1643730172,0.531987102050781,False,P
12,SPY220916P00200000,200.0,USD,0.96,0.0,0.0,27.0,2265,1.1,1.15,REGULAR,1663286400,1643833272,0.522953989257812,False,P
13,SPY220916P00205000,205.0,USD,1.06,0.0,0.0,1.0,73,1.18,1.23,REGULAR,1663286400,1643829360,0.514165014648437,False,P
14,SPY220916P00210000,210.0,USD,1.15,0.0,0.0,473.0,22921,1.26,1.31,REGULAR,1663286400,1643835020,0.505253970947265,False,P
15,SPY220916P00215000,215.0,USD,1.3900000000000001,-0.53,-27.604166,2.0,17368,1.35,1.4,REGULAR,1663286400,1643912370,0.49841810180664003,False,P
16,SPY220916P00220000,220.0,USD,1.49,0.029999971,2.0547924,1.0,278,1.44,1.5,REGULAR,1663286400,1643910497,0.49023947265625006,False,P
