,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,Type
0,SPY220307P00390000,390.0,USD,1.5899999999999999,-1.5899999999999999,-50.0,158,438,1.58,1.63,REGULAR,1646611200,1643662527,0.332892413330078,False,P
1,SPY220307P00395000,395.0,USD,2.0,-1.1400001,-36.305733,44,10,1.85,1.9,REGULAR,1646611200,1643660598,0.322455505981445,False,P
2,SPY220307P00400000,400.0,USD,2.17,-1.46,-40.220387,215,35,2.17,2.23,REGULAR,1646611200,1643662182,0.312506874999999,False,P
3,SPY220307P00405000,405.0,USD,2.93,-2.41,-45.13109,141,1,2.55,2.62,REGULAR,1646611200,1643649480,0.302497209472656,False,P
4,SPY220307P00410000,410.0,USD,3.13,-2.23,-41.604477,80,4,3.01,3.08,REGULAR,1646611200,1643662081,0.292365474853515,False,P
5,SPY220307P00415000,415.0,USD,3.46,-2.4499998,-41.45516,59,3,3.56,3.64,REGULAR,1646611200,1643662762,0.28266098205566403,False,P
6,SPY220307P00420000,420.0,USD,4.22,-2.38,-36.060608,40,9,4.21,4.29,REGULAR,1646611200,1643663637,0.272529247436523,False,P
7,SPY220307P00425000,425.0,USD,4.8,-2.6999998,-36.0,9,3,4.98,5.07,REGULAR,1646611200,1643662784,0.262519581909179,False,P
8,SPY220307P00430000,430.0,USD,5.95,-3.2600002,-35.39631,225,8,5.89,5.99,REGULAR,1646611200,1643663637,0.25229629547119103,False,P
9,SPY220307P00435000,435.0,USD,7.45,-3.5500002,-32.272728,10,57,6.98,7.07,REGULAR,1646611200,1643655716,0.241737319030761,False,P
10,SPY220307P00440000,440.0,USD,8.0,-4.51,-36.05116,25,30,8.26,8.37,REGULAR,1646611200,1643662480,0.23139196350097602,False,P
11,SPY220307P00470000,470.0,USD,34.25,0.0,0.0,1,1,23.2,23.98,REGULAR,1646611200,1643389068,0.19687692779541002,True,P
0,SPY220307C00425000,425.0,USD,27.44,5.99,27.925406,6,1,28.43,29.05,REGULAR,1646611200,1643652222,0.23987576538085903,True,C
1,SPY220307C00430000,430.0,USD,24.12,7.970001,49.349854,4,4,24.36,24.94,REGULAR,1646611200,1643658907,0.230964721679687,True,C
2,SPY220307C00435000,435.0,USD,13.65,0.0,0.0,20,10,20.55,20.87,REGULAR,1646611200,1643399525,0.218940916137695,True,C
3,SPY220307C00440000,440.0,USD,17.28,3.4300003,24.765345,42,7,16.84,17.13,REGULAR,1646611200,1643663266,0.20923642333984302,True,C
4,SPY220307C00445000,445.0,USD,12.3,2.9000006,30.851072,20,22,13.39,13.64,REGULAR,1646611200,1643648993,0.19919624053955,True,C
5,SPY220307C00450000,450.0,USD,10.4,3.5699997,52.269394,72,12,10.34,10.45,REGULAR,1646611200,1643663681,0.188789850463867,False,C
6,SPY220307C00455000,455.0,USD,7.48,2.0900002,38.775513,6,4,7.57,7.68,REGULAR,1646611200,1643657330,0.17926846130371002,False,C
7,SPY220307C00460000,460.0,USD,4.64,1.5099998000000001,48.2428,18,4,5.27,5.37,REGULAR,1646611200,1643660066,0.17047948669433602,False,C
8,SPY220307C00465000,465.0,USD,3.73,1.22,48.60558,4,5,3.5,3.59,REGULAR,1646611200,1643662891,0.16352154846191402,False,C
9,SPY220307C00470000,470.0,USD,2.39,0.73000014,43.975914,925,6,2.23,2.31,REGULAR,1646611200,1643662891,0.15851671569824202,False,C
10,SPY220307C00475000,475.0,USD,1.4100000000000001,0.26,22.608696,18,12,1.4,1.46,REGULAR,1646611200,1643657875,0.15589223022460902,False,C
