,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,Type
0,SPY220520P00100000,100.0,USD,0.05,0.010000002000000001,25.000006,29.0,18734,0.04,0.05,REGULAR,1653004800,1643915066,0.9375006250000001,False,P
1,SPY220520P00110000,110.0,USD,0.04,0.0,0.0,2.0,6552,0.05,0.06,REGULAR,1653004800,1643822693,0.8945323046874991,False,P
2,SPY220520P00120000,120.0,USD,0.05,0.0,0.0,61.0,3505,0.05,0.07,REGULAR,1653004800,1643834455,0.8457046679687491,False,P
3,SPY220520P00130000,130.0,USD,0.07,0.0,0.0,180.0,4243,0.08,0.09,REGULAR,1653004800,1643815157,0.82226740234375,False,P
4,SPY220520P00140000,140.0,USD,0.09,0.0,0.0,210.0,3304,0.1,0.11,REGULAR,1653004800,1643815143,0.7919942675781251,False,P
5,SPY220520P00150000,150.0,USD,0.12,0.019999996000000003,19.999996,17.0,1652,0.12,0.13,REGULAR,1653004800,1643901788,0.7607445800781251,False,P
6,SPY220520P00160000,160.0,USD,0.15,0.020000010000000002,15.3846245,130.0,820,0.15,0.16,REGULAR,1653004800,1643909885,0.73437765625,False,P
7,SPY220520P00170000,170.0,USD,0.18,0.010000005000000001,5.882356,1.0,632,0.19,0.2,REGULAR,1653004800,1643907779,0.710940390625,False,P
8,SPY220520P00180000,180.0,USD,0.22,0.030000001000000002,15.7894745,177.0,1580,0.23,0.24,REGULAR,1653004800,1643907744,0.6865265722656251,False,P
9,SPY220520P00190000,190.0,USD,0.28,0.049999997000000004,21.739128,70.0,857,0.28,0.29,REGULAR,1653004800,1643908917,0.663577583007812,False,P
10,SPY220520P00200000,200.0,USD,0.33,0.07000002,26.923088,67.0,3355,0.33,0.34,REGULAR,1653004800,1643908888,0.639163764648437,False,P
11,SPY220520P00210000,210.0,USD,0.38,0.06999999,22.580643,19.0,892,0.39,0.4,REGULAR,1653004800,1643901309,0.616458913574218,False,P
12,SPY220520P00215000,215.0,USD,0.35000000000000003,0.0,0.0,30.0,58,0.42,0.43,REGULAR,1653004800,1643835915,0.604740280761718,False,P
13,SPY220520P00220000,220.0,USD,0.42,0.03999999,10.526314,106.0,599,0.45,0.46,REGULAR,1653004800,1643902966,0.592777509765625,False,P
14,SPY220520P00225000,225.0,USD,0.49,0.07000002,16.666674,967.0,66,0.49,0.5,REGULAR,1653004800,1643904368,0.5825237060546871,False,P
15,SPY220520P00230000,230.0,USD,0.54,0.100000024,22.727278,558.0,388,0.53,0.54,REGULAR,1653004800,1643913359,0.571781625976562,False,P
16,SPY220520P00235000,235.0,USD,0.59,-0.14000005000000001,-19.17809,4.0,1329,0.5700000000000001,0.59,REGULAR,1653004800,1643907832,0.561527822265625,False,P
17,SPY220520P00240000,240.0,USD,0.52,0.0,0.0,7.0,334,0.62,0.64,REGULAR,1653004800,1643832764,0.551762294921875,False,P
18,SPY220520P00245000,245.0,USD,0.61,0.0,0.0,5.0,490,0.67,0.68,REGULAR,1653004800,1643816118,0.540776076660156,False,P
19,SPY220520P00250000,250.0,USD,0.75,0.16000003000000002,27.118649,7.0,294,0.72,0.74,REGULAR,1653004800,1643908829,0.531010549316406,False,P
20,SPY220520P00255000,255.0,USD,0.81,0.17000002,26.562504,6.0,1333,0.77,0.79,REGULAR,1653004800,1643908827,0.5202684692382811,False,P
21,SPY220520P00260000,260.0,USD,0.87,-0.00999999,-1.1363626,5.0,332,0.84,0.85,REGULAR,1653004800,1643908861,0.5107470800781251,False,P
22,SPY220520P00265000,265.0,USD,0.9400000000000001,0.19999999000000002,27.027023,5.0,198,0.9,0.91,REGULAR,1653004800,1643908827,0.500493276367187,False,P
23,SPY220520P00270000,270.0,USD,1.01,0.18,21.686747,7.0,302,0.96,0.98,REGULAR,1653004800,1643908828,0.49133809448242105,False,P
24,SPY220520P00275000,275.0,USD,1.09,0.23000002,26.744188,5.0,1330,1.04,1.05,REGULAR,1653004800,1643908831,0.48145049804687506,False,P
25,SPY220520P00280000,280.0,USD,1.17,0.22999996,24.46808,19.0,4320,1.11,1.13,REGULAR,1653004800,1643908847,0.471929108886718,False,P
26,SPY220520P00285000,285.0,USD,1.25,0.25,25.0,1.0,490,1.2,1.22,REGULAR,1653004800,1643907802,0.462773927001953,False,P
27,SPY220520P00290000,290.0,USD,1.29,0.18999994,17.272722,1.0,703,1.29,1.3,REGULAR,1653004800,1643913281,0.452764261474609,False,P
28,SPY220520P00295000,295.0,USD,1.2,0.0,0.0,1.0,631,1.3900000000000001,1.4100000000000001,REGULAR,1653004800,1643823979,0.44421942504882805,False,P
29,SPY220520P00300000,300.0,USD,1.54,0.27999997,22.22222,125.0,994,1.49,1.51,REGULAR,1653004800,1643907934,0.434698035888671,False,P
30,SPY220520P00305000,305.0,USD,1.58,0.17000008,12.056744,51.0,4632,1.6099999999999999,1.63,REGULAR,1653004800,1643906085,0.425909061279296,False,P
31,SPY220520P00310000,310.0,USD,1.79,0.36,25.174826,269.0,1443,1.74,1.75,REGULAR,1653004800,1643911197,0.416692844848632,False,P
32,SPY220520P00315000,315.0,USD,1.79,0.25,16.233767,371.0,1096,1.87,1.9,REGULAR,1653004800,1643903651,0.40851421569824203,False,P
33,SPY220520P00320000,320.0,USD,2.03,0.39999998000000003,24.539875,444.0,1876,2.02,2.04,REGULAR,1653004800,1643915049,0.39948110290527306,False,P
34,SPY220520P00325000,325.0,USD,2.21,0.21000004,10.500002,8.0,1331,2.19,2.21,REGULAR,1653004800,1643915910,0.391241439208984,False,P
35,SPY220520P00330000,330.0,USD,2.47,0.6000000000000001,32.085564,257.0,1720,2.38,2.4,REGULAR,1653004800,1643911662,0.383245913696289,False,P
36,SPY220520P00335000,335.0,USD,2.46,0.36000013000000003,17.142866,52.0,758,2.5700000000000003,2.6,REGULAR,1653004800,1643905881,0.37506728454589805,False,P
37,SPY220520P00340000,340.0,USD,2.65,0.13000011,5.158735,55.0,1936,2.8,2.8200000000000003,REGULAR,1653004800,1643905881,0.36701072448730404,False,P
38,SPY220520P00345000,345.0,USD,2.8200000000000003,0.41999984,17.499992,22.0,5462,3.04,3.05,REGULAR,1653004800,1643904549,0.358771060791015,False,P
39,SPY220520P00350000,350.0,USD,3.43,0.78,29.433962,104.0,3410,3.3,3.33,REGULAR,1653004800,1643910568,0.35135536346435503,False,P
40,SPY220520P00355000,355.0,USD,3.64,0.7900001999999999,27.719307,50.0,1786,3.6,3.63,REGULAR,1653004800,1643914848,0.34384811431884704,False,P
41,SPY220520P00360000,360.0,USD,3.84,0.75,24.271845,15.0,2250,3.91,3.94,REGULAR,1653004800,1643907339,0.335944140625,False,P
42,SPY220520P00365000,365.0,USD,4.0,0.6400001,19.047623,5.0,5413,4.28,4.31,REGULAR,1653004800,1643902309,0.328772581481933,False,P
43,SPY220520P00370000,370.0,USD,4.79,0.7899999600000001,19.75,48.0,7976,4.68,4.7,REGULAR,1653004800,1643912474,0.321295849609374,False,P
44,SPY220520P00375000,375.0,USD,5.16,1.1099997,27.407398,15.0,4504,5.11,5.14,REGULAR,1653004800,1643909351,0.314154807739257,False,P
45,SPY220520P00380000,380.0,USD,5.63,1.06,23.194746,476.0,8080,5.6,5.64,REGULAR,1653004800,1643913102,0.307318938598632,False,P
46,SPY220520P00385000,385.0,USD,6.13,1.2200003,24.847258,216.0,6053,6.12,6.16,REGULAR,1653004800,1643915870,0.29999479309082,False,P
47,SPY220520P00390000,390.0,USD,6.8100000000000005,1.02,17.616581,147.0,4558,6.7,6.74,REGULAR,1653004800,1643914302,0.292853751220703,False,P
48,SPY220520P00395000,395.0,USD,7.24,1.0499997,16.96284,3.0,7273,7.33,7.37,REGULAR,1653004800,1643907492,0.285590640258789,False,P
49,SPY220520P00400000,400.0,USD,8.13,0.98,13.706293,252.0,12839,8.04,8.09,REGULAR,1653004800,1643914134,0.278785288391113,False,P
50,SPY220520P00405000,405.0,USD,8.93,1.8200002,25.597752,5.0,3201,8.81,8.85,REGULAR,1653004800,1643914963,0.27149166015625,False,P
51,SPY220520P00410000,410.0,USD,9.64,1.0300007,11.962842,68.0,7790,9.62,9.69,REGULAR,1653004800,1643915860,0.26428958374023404,False,P
52,SPY220520P00415000,415.0,USD,10.02,-0.85999966,-7.904409,135.0,15906,10.57,10.62,REGULAR,1653004800,1643914193,0.25714854187011704,False,P
53,SPY220520P00416000,416.0,USD,10.99,2.4799995,29.14218,3.0,3343,10.74,10.79,REGULAR,1653004800,1643905428,0.255378540039062,False,P
54,SPY220520P00418000,418.0,USD,11.45,2.6999998,30.85714,195.0,1488,11.16,11.2,REGULAR,1653004800,1643908808,0.252570950927734,False,P
55,SPY220520P00420000,420.0,USD,11.54,1.2399998,12.038833,543.0,8148,11.57,11.62,REGULAR,1653004800,1643915839,0.249702327270507,False,P
56,SPY220520P00422000,422.0,USD,12.05,1.3100004,12.197397,878.0,2260,12.0,12.05,REGULAR,1653004800,1643909220,0.246742151794433,False,P
57,SPY220520P00423000,423.0,USD,11.52,0.6000004,5.4945087,1.0,754,12.2,12.25,REGULAR,1653004800,1643899221,0.24500266723632802,False,P
