,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,Type
0,SPY220520P00100000,100.0,USD,0.04,-0.010000002000000001,-20.000004,810.0,17934,0.03,0.04,REGULAR,1653004800,1643817922,0.9179695703125,False,P
1,SPY220520P00110000,110.0,USD,0.04,-0.02,-33.333336,2.0,6552,0.03,0.04,REGULAR,1653004800,1643822693,0.8632826171875,False,P
2,SPY220520P00120000,120.0,USD,0.06,-0.010000002000000001,-14.285716,60.0,3504,0.05,0.06,REGULAR,1653004800,1643815668,0.843751562499999,False,P
3,SPY220520P00130000,130.0,USD,0.07,-0.049999997000000004,-41.666664,180.0,4343,0.06,0.07,REGULAR,1653004800,1643815157,0.80664255859375,False,P
4,SPY220520P00140000,140.0,USD,0.09,-0.029999994000000002,-24.999996,210.0,3304,0.08,0.09,REGULAR,1653004800,1643815143,0.7812521875,False,P
5,SPY220520P00150000,150.0,USD,0.11,-0.009999998000000001,-8.333331,584.0,1301,0.09,0.11,REGULAR,1653004800,1643816060,0.7480493945312501,False,P
6,SPY220520P00160000,160.0,USD,0.13,-0.020000010000000002,-13.33334,117.0,913,0.12,0.13,REGULAR,1653004800,1643828362,0.7226590234375,False,P
7,SPY220520P00170000,170.0,USD,0.17,-0.03999999,-19.047615,505.0,782,0.15,0.16,REGULAR,1653004800,1643819012,0.6992217578125001,False,P
8,SPY220520P00180000,180.0,USD,0.21,0.0,0.0,245.0,1089,0.19,0.2,REGULAR,1653004800,1643820752,0.6777375976562501,False,P
9,SPY220520P00190000,190.0,USD,0.29,0.0,0.0,12.0,855,0.22,0.23,REGULAR,1653004800,1643740513,0.6513706738281251,False,P
10,SPY220520P00200000,200.0,USD,0.28,-0.020000010000000002,-6.66667,208.0,3214,0.27,0.28,REGULAR,1653004800,1643824215,0.630374790039062,False,P
11,SPY220520P00210000,210.0,USD,0.33,-0.06999999,-17.499998,11.0,882,0.32,0.33,REGULAR,1653004800,1643827707,0.608402353515625,False,P
12,SPY220520P00215000,215.0,USD,0.56,0.0,0.0,2.0,28,0.35000000000000003,0.35000000000000003,REGULAR,1653004800,1643648738,0.596683720703125,False,P
13,SPY220520P00220000,220.0,USD,0.61,0.0,0.0,1.0,598,0.38,0.39,REGULAR,1653004800,1643643392,0.587162331542968,False,P
14,SPY220520P00225000,225.0,USD,0.42,-0.16999999,-28.813559,11.0,55,0.41000000000000003,0.42,REGULAR,1653004800,1643826802,0.57617611328125,False,P
15,SPY220520P00230000,230.0,USD,0.55,0.0,0.0,4.0,384,0.44,0.46,REGULAR,1653004800,1643740120,0.5659223095703121,False,P
16,SPY220520P00235000,235.0,USD,0.73,0.0,0.0,154.0,1329,0.49,0.49,REGULAR,1653004800,1643651326,0.5561567822265621,False,P
17,SPY220520P00240000,240.0,USD,0.53,-0.050000012,-8.620692,6.0,333,0.52,0.53,REGULAR,1653004800,1643826958,0.545414702148437,False,P
18,SPY220520P00245000,245.0,USD,0.61,-0.07999998,-11.5942,5.0,490,0.5700000000000001,0.58,REGULAR,1653004800,1643816118,0.5363815893554681,False,P
19,SPY220520P00250000,250.0,USD,0.61,-0.060000002000000004,-8.955224,8.0,291,0.61,0.62,REGULAR,1653004800,1643824968,0.5258836474609371,False,P
20,SPY220520P00255000,255.0,USD,0.67,-0.48999995,-42.241375,871.0,464,0.66,0.67,REGULAR,1653004800,1643828278,0.516118120117187,False,P
21,SPY220520P00260000,260.0,USD,0.88,0.0,0.0,2.0,332,0.72,0.72,REGULAR,1653004800,1643731218,0.5068408691406251,False,P
22,SPY220520P00265000,265.0,USD,0.79,-0.13999999,-15.0537615,2.0,194,0.76,0.78,REGULAR,1653004800,1643828203,0.497563618164062,False,P
23,SPY220520P00270000,270.0,USD,0.85,-0.029999971,-3.4090877,4.0,301,0.8300000000000001,0.8300000000000001,REGULAR,1653004800,1643827870,0.48718774536132803,False,P
24,SPY220520P00275000,275.0,USD,0.91,-0.11999994500000001,-11.65048,3.0,1318,0.9,0.91,REGULAR,1653004800,1643812578,0.47925325439453104,False,P
25,SPY220520P00280000,280.0,USD,0.97,-0.14999998,-13.392856,14.0,4330,0.9500000000000001,0.97,REGULAR,1653004800,1643822244,0.46912151977539,False,P
26,SPY220520P00285000,285.0,USD,1.03,-0.42000008,-28.96552,2.0,488,1.03,1.05,REGULAR,1653004800,1643825296,0.46045461425781203,False,P
27,SPY220520P00290000,290.0,USD,1.27,0.0,0.0,20.0,703,1.11,1.11,REGULAR,1653004800,1643742787,0.44983460327148406,False,P
28,SPY220520P00295000,295.0,USD,1.2,-0.16999996,-12.408756,1.0,632,1.18,1.21,REGULAR,1653004800,1643823979,0.441900112304687,False,P
29,SPY220520P00300000,300.0,USD,1.28,-0.09000003000000001,-6.569346,27.0,979,1.27,1.29,REGULAR,1653004800,1643827182,0.43213458496093704,False,P
30,SPY220520P00305000,305.0,USD,1.38,-0.53,-27.74869,3655.0,544,1.3599999999999999,1.38,REGULAR,1653004800,1643828777,0.42285733398437503,False,P
31,SPY220520P00310000,310.0,USD,1.47,-0.07999992,-5.1612854,10.0,1438,1.46,1.48,REGULAR,1653004800,1643824766,0.41370215209960903,False,P
32,SPY220520P00315000,315.0,USD,1.5899999999999999,-0.07999992,-4.790415,90.0,1178,1.5899999999999999,1.5899999999999999,REGULAR,1653004800,1643822244,0.404791108398437,False,P
33,SPY220520P00320000,320.0,USD,1.73,-0.05999994300000001,-3.351952,146.0,2017,1.71,1.72,REGULAR,1653004800,1643825647,0.39655144470214804,False,P
34,SPY220520P00325000,325.0,USD,1.83,-0.13999999,-7.106598,14.0,1322,1.8399999999999999,1.8399999999999999,REGULAR,1653004800,1643824055,0.38739626281738204,False,P
35,SPY220520P00330000,330.0,USD,1.99,-0.11999988600000001,-5.6871986,13.0,1712,1.97,1.98,REGULAR,1653004800,1643825682,0.378790391845703,False,P
36,SPY220520P00335000,335.0,USD,2.29,-0.26,-10.196078,5.0,758,2.12,2.14,REGULAR,1653004800,1643818020,0.37055072814941403,False,P
37,SPY220520P00340000,340.0,USD,2.52,0.029999971,1.2048181,7.0,1938,2.3,2.31,REGULAR,1653004800,1643818387,0.36218899536132804,False,P
38,SPY220520P00345000,345.0,USD,2.6,-0.10000014,-3.703709,23.0,5464,2.48,2.5,REGULAR,1653004800,1643826480,0.354132435302734,False,P
39,SPY220520P00350000,350.0,USD,2.8,-0.11000013,-3.7800732,42.0,3434,2.69,2.71,REGULAR,1653004800,1643826555,0.34619794433593704,False,P
40,SPY220520P00355000,355.0,USD,2.9699999999999998,-0.31999993,-9.726441,17.0,1792,2.94,2.94,REGULAR,1653004800,1643825802,0.33832448791503905,False,P
41,SPY220520P00360000,360.0,USD,3.36,-0.0400002,-1.1764765,89.0,2315,3.18,3.19,REGULAR,1653004800,1643817470,0.33045103149414,False,P
42,SPY220520P00365000,365.0,USD,3.5700000000000003,-0.5400001999999999,-13.13869,61.0,5439,3.46,3.48,REGULAR,1653004800,1643826856,0.32306585144042904,False,P
43,SPY220520P00370000,370.0,USD,3.96,-0.32000017000000003,-7.476639,126.0,7944,3.77,3.79,REGULAR,1653004800,1643821654,0.31552808502197205,False,P
44,SPY220520P00375000,375.0,USD,4.19,-0.25,-5.6306305,186.0,4501,4.14,4.16,REGULAR,1653004800,1643825779,0.30869221588134704,False,P
45,SPY220520P00380000,380.0,USD,4.57,-0.25999975000000003,-5.3830175,126.0,7961,4.51,4.53,REGULAR,1653004800,1643827081,0.30109341491699204,False,P
46,SPY220520P00385000,385.0,USD,5.07,-0.23000002,-4.339623,43.0,6039,4.91,4.93,REGULAR,1653004800,1643826270,0.29340306213378803,False,P
47,SPY220520P00390000,390.0,USD,5.47,-0.37000036000000003,-6.335623,41.0,4675,5.43,5.45,REGULAR,1653004800,1643825115,0.287238572998046,False,P
48,SPY220520P00395000,395.0,USD,6.15,-0.17999983,-2.8435993,39.0,7267,5.89,5.92,REGULAR,1653004800,1643816696,0.2792735647583,False,P
49,SPY220520P00400000,400.0,USD,6.55,-0.40999985,-5.8908024,4217.0,12341,6.46,6.48,REGULAR,1653004800,1643828603,0.272010453796386,False,P
50,SPY220520P00405000,405.0,USD,7.4,-0.25,-3.267974,137.0,3196,7.14,7.17,REGULAR,1653004800,1643823499,0.26587648193359303,False,P
51,SPY220520P00410000,410.0,USD,7.91,-0.40999985,-4.927883,135.0,7829,7.77,7.8,REGULAR,1653004800,1643828463,0.257835180511474,False,P
52,SPY220520P00415000,415.0,USD,8.59,-0.71000004,-7.6344085,384.0,16299,8.54,8.57,REGULAR,1653004800,1643828634,0.250800949096679,False,P
53,SPY220520P00416000,416.0,USD,8.91,-0.8000001999999999,-8.238931,272.0,3334,8.69,8.72,REGULAR,1653004800,1643828222,0.24921405090332002,False,P
54,SPY220520P00418000,418.0,USD,9.31,-1.8099995,-16.276974,3.0,1486,9.02,9.06,REGULAR,1653004800,1643826652,0.24643697906494103,False,P
55,SPY220520P00420000,420.0,USD,9.45,-0.7399998,-7.2620196,6039.0,4251,9.38,9.41,REGULAR,1653004800,1643828791,0.24362938995361302,False,P
56,SPY220520P00422000,422.0,USD,10.05,-0.52999973,-5.0094495,39.0,2224,9.73,9.75,REGULAR,1653004800,1643814485,0.24048611083984303,False,P
