,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,Type
0,SPY220630P00300000,300.0,USD,2.08,-0.00999999,-0.47846848000000003,77.0,961,2.01,2.03,REGULAR,1656547200,1643826490,0.40173938110351504,False,P
1,SPY220630P00305000,305.0,USD,4.25,0.0,0.0,1.0,213,2.17,2.19,REGULAR,1656547200,1643312875,0.39465937377929605,False,P
2,SPY220630P00310000,310.0,USD,2.37,-0.49,-17.132868,51.0,58,2.31,2.32,REGULAR,1656547200,1643826490,0.386053502807617,False,P
3,SPY220630P00315000,315.0,USD,2.54,-0.16000009,-5.9259286,54.0,197,2.47,2.5,REGULAR,1656547200,1643826472,0.37891246093750003,False,P
4,SPY220630P00320000,320.0,USD,2.74,-0.31999993,-10.457514,7.0,290,2.66,2.68,REGULAR,1656547200,1643821615,0.37146624633789005,False,P
5,SPY220630P00325000,325.0,USD,2.94,-0.03999996,-1.3422806,1.0,197,2.86,2.88,REGULAR,1656547200,1643813545,0.36423365264892504,False,P
6,SPY220630P00330000,330.0,USD,3.14,-0.5,-13.736263,55.0,787,3.05,3.07,REGULAR,1656547200,1643826472,0.356390713500976,False,P
7,SPY220630P00335000,335.0,USD,4.13,0.0,0.0,1.0,540,3.2800000000000002,3.3,REGULAR,1656547200,1643727798,0.349249671630859,False,P
8,SPY220630P00340000,340.0,USD,4.17,0.0,0.0,2.0,403,3.52,3.55,REGULAR,1656547200,1643732626,0.34223069885253904,False,P
9,SPY220630P00345000,345.0,USD,3.87,-0.1800003,-4.444452,3.0,346,3.8200000000000003,3.85,REGULAR,1656547200,1643826856,0.335974657897949,False,P
10,SPY220630P00350000,350.0,USD,4.2,-0.40000009999999997,-8.695654,181.0,1381,4.1,4.13,REGULAR,1656547200,1643825540,0.328772581481933,False,P
11,SPY220630P00355000,355.0,USD,4.53,-0.14999962,-3.20512,5.0,1700,4.42,4.45,REGULAR,1656547200,1643812202,0.321997746887206,False,P
12,SPY220630P00360000,360.0,USD,4.99,0.01999998,0.4024141,41.0,958,4.78,4.8100000000000005,REGULAR,1656547200,1643813604,0.31552808502197205,False,P
13,SPY220630P00365000,365.0,USD,5.45,-0.72000027,-11.669373,11.0,1675,5.18,5.22,REGULAR,1656547200,1643813783,0.30945514770507804,False,P
14,SPY220630P00370000,370.0,USD,5.71,-0.3000002,-4.9916835,39.0,1540,5.6,5.64,REGULAR,1656547200,1643827698,0.302985485839843,False,P
15,SPY220630P00375000,375.0,USD,6.2,-0.31000042,-4.761911,34.0,1365,6.06,6.1,REGULAR,1656547200,1643826202,0.29663789306640603,False,P
16,SPY220630P00380000,380.0,USD,6.68,-0.33000039999999997,-4.707566,88.0,848,6.58,6.62,REGULAR,1656547200,1643827319,0.29062599029541003,False,P
17,SPY220630P00383000,383.0,USD,7.06,-1.0999999,-13.4803915,1.0,257,6.84,7.02,REGULAR,1656547200,1643812425,0.288032022094726,False,P
18,SPY220630P00384000,384.0,USD,13.5,0.0,0.0,303.0,469,7.06,7.1,REGULAR,1656547200,1643384199,0.28629253753662104,False,P
19,SPY220630P00385000,385.0,USD,7.85,-0.1500001,-1.8750011999999998,33.0,5386,7.13,7.18,REGULAR,1656547200,1643818587,0.284583570251464,False,P
20,SPY220630P00386000,386.0,USD,8.45,0.0,0.0,120.0,275,7.18,7.38,REGULAR,1656547200,1643734805,0.284553052978515,False,P
21,SPY220630P00387000,387.0,USD,8.68,0.0,0.0,60.0,380,7.37,7.41,REGULAR,1656547200,1643739599,0.282050636596679,False,P
22,SPY220630P00388000,388.0,USD,8.82,0.0,0.0,10.0,295,7.54,7.59,REGULAR,1656547200,1643739599,0.281669170684814,False,P
23,SPY220630P00389000,389.0,USD,7.8,-3.1999998,-29.090906,2.0,141,7.62,7.66,REGULAR,1656547200,1643824259,0.279700806579589,False,P
24,SPY220630P00390000,390.0,USD,7.91,-1.8400002,-18.871796,22.0,830,7.8,7.84,REGULAR,1656547200,1643824588,0.279243047485351,False,P
25,SPY220630P00391000,391.0,USD,8.33,-1.6099997,-16.19718,2.0,228,7.87,7.91,REGULAR,1656547200,1643820490,0.277259424743652,False,P
26,SPY220630P00392000,392.0,USD,8.96,0.0,0.0,56.0,278,8.06,8.1,REGULAR,1656547200,1643745958,0.276862700195312,False,P
27,SPY220630P00393000,393.0,USD,9.12,0.0,0.0,12.0,149,8.19,8.24,REGULAR,1656547200,1643745958,0.27576407836914,False,P
28,SPY220630P00394000,394.0,USD,10.2,0.0,0.0,1.0,102,8.31,8.36,REGULAR,1656547200,1643726649,0.27436028381347605,False,P
29,SPY220630P00395000,395.0,USD,8.6,-0.8999996,-9.4736805,26.0,218,8.41,8.45,REGULAR,1656547200,1643826124,0.272544506072998,False,P
30,SPY220630P00396000,396.0,USD,13.84,0.0,0.0,1.0,303,8.6,8.65,REGULAR,1656547200,1643299203,0.272132522888183,False,P
31,SPY220630P00397000,397.0,USD,19.07,0.0,0.0,2.0,104,8.62,8.84,REGULAR,1656547200,1643042208,0.27155269470214805,False,P
32,SPY220630P00398000,398.0,USD,11.51,0.0,0.0,2.0,185,8.88,8.93,REGULAR,1656547200,1643654162,0.269660623779296,False,P
33,SPY220630P00399000,399.0,USD,9.18,-5.299999,-36.602207,5.0,54,8.96,9.01,REGULAR,1656547200,1643814127,0.267615966491699,False,P
34,SPY220630P00400000,400.0,USD,9.3,-0.46000004,-4.713115,382.0,1841,9.16,9.2,REGULAR,1656547200,1643827267,0.266944586486816,False,P
35,SPY220630P00401000,401.0,USD,11.69,0.0,0.0,5.0,114,9.27,9.39,REGULAR,1656547200,1643661474,0.266212171936035,False,P
36,SPY220630P00402000,402.0,USD,16.42,0.0,0.0,5.0,119,9.49,9.54,REGULAR,1656547200,1643392356,0.264976222381591,False,P
37,SPY220630P00403000,403.0,USD,12.71,0.0,0.0,1.0,64,9.3,9.38,REGULAR,1656547200,1639772602,0.25995613098144504,False,P
38,SPY220630P00404000,404.0,USD,12.71,0.0,0.0,2.0,128,9.8,9.85,REGULAR,1656547200,1643650240,0.262519581909179,False,P
39,SPY220630P00405000,405.0,USD,10.02,-0.67999935,-6.3551345,23.0,190,9.9,9.93,REGULAR,1656547200,1643825165,0.26035285552978504,False,P
40,SPY220630P00406000,406.0,USD,13.67,0.0,0.0,14.0,169,10.06,10.1,REGULAR,1656547200,1643645006,0.259223716430664,False,P
41,SPY220630P00407000,407.0,USD,12.98,0.0,0.0,26.0,185,10.22,10.27,REGULAR,1656547200,1643651965,0.258064060058593,False,P
42,SPY220630P00408000,408.0,USD,13.39,0.0,0.0,35.0,278,10.46,10.51,REGULAR,1656547200,1643653953,0.257682594146728,False,P
43,SPY220630P00409000,409.0,USD,13.6,0.0,0.0,35.0,161,10.55,10.59,REGULAR,1656547200,1643653953,0.255424315948486,False,P
44,SPY220630P00410000,410.0,USD,11.13,-0.8999996,-7.4812937,67.0,2314,10.8,10.85,REGULAR,1656547200,1643822754,0.255195436401367,False,P
45,SPY220630P00411000,411.0,USD,12.86,0.0,0.0,16.0,66,10.89,10.94,REGULAR,1656547200,1643726340,0.252998192749023,False,P
46,SPY220630P00412000,412.0,USD,12.38,0.0,0.0,36.0,130,11.09,11.14,REGULAR,1656547200,1643746559,0.252021640014648,False,P
