,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,Type
0,SPY221216P00085000,85.0,USD,0.17,0.0,0.0,205.0,7800,0.16,0.17,REGULAR,1671148800,1643829254,0.6875031250000001,False,P
1,SPY221216P00090000,90.0,USD,0.25,0.0,0.0,1.0,1505,0.15,0.2,REGULAR,1671148800,1643385496,0.6689486230468751,False,P
2,SPY221216P00095000,95.0,USD,0.19,0.0,0.0,2.0,222,0.17,0.23,REGULAR,1671148800,1643748408,0.6562534375000001,False,P
3,SPY221216P00100000,100.0,USD,0.25,-0.00999999,-3.8461502,521.0,11613,0.24,0.26,REGULAR,1671148800,1643824615,0.6513706738281251,False,P
4,SPY221216P00105000,105.0,USD,0.37,0.0,0.0,3.0,158,0.26,0.29,REGULAR,1671148800,1643647872,0.638187211914062,False,P
5,SPY221216P00110000,110.0,USD,0.28,0.0,0.0,1.0,393,0.27,0.32,REGULAR,1671148800,1643225966,0.6235389208984371,False,P
6,SPY221216P00115000,115.0,USD,0.46,0.0,0.0,2.0,483,0.30000000000000004,0.36,REGULAR,1671148800,1643648304,0.612796840820312,False,P
7,SPY221216P00120000,120.0,USD,0.38,-0.06999999,-15.555553,1.0,1564,0.35000000000000003,0.39,REGULAR,1671148800,1643825746,0.6027871752929691,False,P
8,SPY221216P00125000,125.0,USD,0.45,0.0,0.0,8.0,273,0.39,0.44,REGULAR,1671148800,1643748241,0.593509924316406,False,P
9,SPY221216P00130000,130.0,USD,0.74,0.0,0.0,2.0,456,0.44,0.49,REGULAR,1671148800,1643309765,0.584720949707031,False,P
10,SPY221216P00135000,135.0,USD,0.55,-0.09999996400000001,-15.38461,3.0,542,0.5,0.54,REGULAR,1671148800,1643816760,0.57617611328125,False,P
11,SPY221216P00140000,140.0,USD,0.62,-0.18,-22.5,21.0,5748,0.53,0.59,REGULAR,1671148800,1643816195,0.565434033203125,False,P
12,SPY221216P00145000,145.0,USD,0.62,0.0,0.0,1.0,773,0.59,0.64,REGULAR,1671148800,1643748365,0.55664505859375,False,P
13,SPY221216P00150000,150.0,USD,0.74,-0.00999999,-1.3333321,25.0,5288,0.65,0.71,REGULAR,1671148800,1643816293,0.548588498535156,False,P
14,SPY221216P00155000,155.0,USD,0.9500000000000001,0.0,0.0,3.0,1988,0.71,0.78,REGULAR,1671148800,1643294972,0.5402878002929691,False,P
15,SPY221216P00160000,160.0,USD,0.8200000000000001,0.0,0.0,2.0,754,0.77,0.84,REGULAR,1671148800,1643748305,0.5314988256835931,False,P
16,SPY221216P00165000,165.0,USD,0.96,0.0,0.0,3.0,159,0.84,0.91,REGULAR,1671148800,1643727106,0.523198127441406,False,P
17,SPY221216P00170000,170.0,USD,1.11,0.0,0.0,1.0,7754,0.92,0.99,REGULAR,1671148800,1643401449,0.51562984375,False,P
18,SPY221216P00175000,175.0,USD,1.1400000000000001,0.0,0.0,2.0,3873,1.01,1.08,REGULAR,1671148800,1643743107,0.508671905517578,False,P
19,SPY221216P00180000,180.0,USD,1.24,0.0,0.0,3.0,5602,1.1,1.17,REGULAR,1671148800,1643740109,0.501347760009765,False,P
20,SPY221216P00185000,185.0,USD,1.25,-0.75,-37.5,4.0,3375,1.19,1.27,REGULAR,1671148800,1643814846,0.496709134521484,False,P
21,SPY221216P00190000,190.0,USD,1.74,0.0,0.0,4.0,8093,1.28,1.35,REGULAR,1671148800,1643404185,0.48816429809570305,False,P
22,SPY221216P00195000,195.0,USD,1.51,-0.49,-24.5,250.0,1068,1.38,1.46,REGULAR,1671148800,1643815355,0.48132842895507805,False,P
