,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,Type
0,SPY221216P00085000,85.0,USD,0.17,0.0,0.0,202.0,7800,0.16,0.18,REGULAR,1671148800,1643824431,0.688479677734375,False,P
1,SPY221216P00090000,90.0,USD,0.25,0.0,0.0,1.0,1505,0.15,0.2,REGULAR,1671148800,1643385496,0.6679720703125,False,P
2,SPY221216P00095000,95.0,USD,0.19,0.0,0.0,2.0,222,0.18,0.23,REGULAR,1671148800,1643748408,0.657229990234375,False,P
3,SPY221216P00100000,100.0,USD,0.25,-0.00999999,-3.8461504,521.0,11613,0.22,0.27,REGULAR,1671148800,1643824615,0.6489292919921871,False,P
4,SPY221216P00105000,105.0,USD,0.37,0.0,0.0,3.0,158,0.26,0.29,REGULAR,1671148800,1643647872,0.6367223828125,False,P
5,SPY221216P00110000,110.0,USD,0.28,0.0,0.0,1.0,393,0.27,0.33,REGULAR,1671148800,1643225966,0.6235389208984371,False,P
6,SPY221216P00115000,115.0,USD,0.46,0.0,0.0,2.0,483,0.31,0.36,REGULAR,1671148800,1643648304,0.612796840820312,False,P
7,SPY221216P00120000,120.0,USD,0.38,-0.06999999,-15.555554,1.0,1564,0.35000000000000003,0.4,REGULAR,1671148800,1643825746,0.6025430371093751,False,P
8,SPY221216P00125000,125.0,USD,0.45,0.0,0.0,8.0,273,0.4,0.45,REGULAR,1671148800,1643748241,0.594242338867187,False,P
9,SPY221216P00130000,130.0,USD,0.74,0.0,0.0,2.0,456,0.44,0.49,REGULAR,1671148800,1643309765,0.5835002587890621,False,P
10,SPY221216P00135000,135.0,USD,0.55,-0.09999996400000001,-15.38461,3.0,542,0.5,0.55,REGULAR,1671148800,1643816760,0.575931975097656,False,P
11,SPY221216P00140000,140.0,USD,0.62,-0.18,-22.5,21.0,5748,0.54,0.59,REGULAR,1671148800,1643816195,0.5649457568359371,False,P
12,SPY221216P00145000,145.0,USD,0.62,0.0,0.0,1.0,773,0.59,0.65,REGULAR,1671148800,1643748365,0.5561567822265621,False,P
13,SPY221216P00150000,150.0,USD,0.74,-0.00999999,-1.3333321,25.0,5288,0.65,0.72,REGULAR,1671148800,1643816293,0.548100222167968,False,P
14,SPY221216P00155000,155.0,USD,0.9500000000000001,0.0,0.0,3.0,1988,0.73,0.79,REGULAR,1671148800,1643294972,0.540776076660156,False,P
15,SPY221216P00160000,160.0,USD,0.8200000000000001,0.0,0.0,2.0,754,0.79,0.85,REGULAR,1671148800,1643748305,0.531742963867187,False,P
16,SPY221216P00165000,165.0,USD,0.96,0.0,0.0,3.0,159,0.85,0.92,REGULAR,1671148800,1643727106,0.522953989257812,False,P
17,SPY221216P00170000,170.0,USD,1.11,0.0,0.0,1.0,7754,0.92,0.99,REGULAR,1671148800,1643401449,0.514409152832031,False,P
18,SPY221216P00175000,175.0,USD,1.1400000000000001,0.0,0.0,2.0,3873,1.01,1.08,REGULAR,1671148800,1643743107,0.5074512145996091,False,P
19,SPY221216P00180000,180.0,USD,1.24,0.0,0.0,3.0,5602,1.1,1.16,REGULAR,1671148800,1643740109,0.5018360363769531,False,P
20,SPY221216P00185000,185.0,USD,1.25,-0.75,-37.5,4.0,3375,1.19,1.26,REGULAR,1671148800,1643814846,0.494756029052734,False,P
21,SPY221216P00190000,190.0,USD,1.74,0.0,0.0,4.0,8093,1.29,1.3599999999999999,REGULAR,1671148800,1643404185,0.487553952636718,False,P
22,SPY221216P00195000,195.0,USD,1.51,-0.49,-24.5,250.0,1068,1.38,1.45,REGULAR,1671148800,1643815355,0.479497392578124,False,P
23,SPY221216P00200000,200.0,USD,1.55,-0.03000009,-1.8987398,4.0,9745,1.48,1.55,REGULAR,1671148800,1643824051,0.47180703979492106,False,P
24,SPY221216P00205000,205.0,USD,2.06,0.0,0.0,2.0,919,1.5899999999999999,1.67,REGULAR,1671148800,1643646766,0.465093239746093,False,P
25,SPY221216P00210000,210.0,USD,1.8,-0.09000003000000001,-4.7619066,462.0,1520,1.72,1.79,REGULAR,1671148800,1643828197,0.45807426696777304,False,P
26,SPY221216P00215000,215.0,USD,1.9500000000000002,-0.049999952,-2.4999976,2.0,1767,1.8399999999999999,1.92,REGULAR,1671148800,1643816715,0.45136046691894505,False,P
27,SPY221216P00220000,220.0,USD,2.11,0.07999992,3.940883,13.0,5486,1.97,2.04,REGULAR,1671148800,1643816415,0.44403632141113203,False,P
28,SPY221216P00225000,225.0,USD,2.22,0.0,0.0,33.0,13018,2.11,2.18,REGULAR,1671148800,1643749055,0.43738355590820305,False,P
29,SPY221216P00230000,230.0,USD,2.51,0.0,0.0,20.0,3253,2.24,2.33,REGULAR,1671148800,1643728850,0.43085285949707003,False,P
30,SPY221216P00235000,235.0,USD,2.7,0.0,0.0,1.0,1917,2.39,2.48,REGULAR,1671148800,1643725800,0.42420009399414005,False,P
31,SPY221216P00240000,240.0,USD,2.59,-0.16000009,-5.8181844,1.0,2312,2.56,2.64,REGULAR,1671148800,1643827434,0.41766939758300703,False,P
32,SPY221216P00245000,245.0,USD,2.9,-0.5399999600000001,-15.697673,17.0,1082,2.75,2.8200000000000003,REGULAR,1671148800,1643815418,0.411565942993164,False,P
33,SPY221216P00250000,250.0,USD,2.95,-0.14999986,-4.838705,12.0,9613,2.91,3.0,REGULAR,1671148800,1643814015,0.40527938476562503,False,P
34,SPY221216P00255000,255.0,USD,3.26,0.0,0.0,15.0,1793,3.09,3.18,REGULAR,1671148800,1643746821,0.39880972290039,False,P
35,SPY221216P00260000,260.0,USD,3.47,0.0,0.0,4.0,13617,3.2800000000000002,3.37,REGULAR,1671148800,1643746821,0.392401095581054,False,P
36,SPY221216P00265000,265.0,USD,3.59,-1.05,-22.629309,150.0,3076,3.51,3.6,REGULAR,1671148800,1643818428,0.386846951904296,False,P
37,SPY221216P00270000,270.0,USD,3.94,0.0,0.0,9.0,4164,3.7199999999999998,3.81,REGULAR,1671148800,1643746998,0.38056039367675704,False,P
38,SPY221216P00275000,275.0,USD,4.22,0.0,0.0,20.0,1959,3.9699999999999998,4.06,REGULAR,1671148800,1643746822,0.37500625,False,P
39,SPY221216P00280000,280.0,USD,4.39,-0.010000229000000001,-0.22727792,8.0,19405,4.2,4.36,REGULAR,1671148800,1643822552,0.37024555541992105,False,P
40,SPY221216P00285000,285.0,USD,5.42,0.0,0.0,8.0,3493,4.44,4.61,REGULAR,1671148800,1643660677,0.36420313537597604,False,P
41,SPY221216P00290000,290.0,USD,5.07,0.0,0.0,6.0,14331,4.75,4.91,REGULAR,1671148800,1643747401,0.358923647155761,False,P
42,SPY221216P00295000,295.0,USD,5.72,0.0,0.0,1.0,1514,5.03,5.22,REGULAR,1671148800,1643731810,0.353552607116699,False,P
